Company,Group,Country,Entity,StateCode,Sub Group State,AreaCode,Area,Branch,ID,ABN,ACL,Shop,Street,Suburb,PostCode,Phone
Money3 Group,Auto3,Australia,MONEY3 Loans Pty Ltd,SC_MM,Micro Motors,AC_MM1,Micro Motors,Micro Motor,{4c5904cc-7b60-4d36-bcbc-2c46468b2b4c},36 108 979 406,389067,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,MONEY3 Loans Pty Ltd,SC_LC,Loan Centre,AC_LC1,Loan Centre,Loan Centre,{f5f91ed5-a110-4b9d-979d-64950e4d7a96},37 108 979 406,389067,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,MONEY3 Loans Pty Ltd,SC_LC,Loan Centre,AC_LC2,Direct Secured Finance,Direct Secured Finance,{3e1b219b-3156-4ee0-b146-ff0e4a5b5e40},37 108 979 406,389067,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,Tannaster,SC_DST,Direct Sales Team,AC_DST1,Direct Sales Team,TANNASTER (PENRITH),{6eaa529e-5860-48ee-8ce3-50539b8bc06d},88 092 875 646,389128,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,Tannaster,SC_DST,Direct Sales Team,AC_DST1,Direct Sales Team,TANNASTER (BUNDOORA),{4580d0f9-a3a8-495c-a3d5-4de50bb2596c},88 092 875 646,389128,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,Tannaster,SC_DST,Direct Sales Team,AC_DST1,Direct Sales Team,TANNASTER (GLENORCHY),{cd68afda-0371-49e2-b806-e8e93e261fab},88 092 875 646,389128,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Recoveries,Australia,MONEY3 Branches Pty Ltd,SCOL,Recoveries,COL1,Recoveries,Recoveries,{2dea190d-8e60-46ac-90d7-36a741a6d8cc},28 114 540 797,389268,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Online,Australia,Money3 Services Pty Ltd,SC_OL,Online,AC_OL1,Cash Train,Cash Train,{cf65e2fb-5964-491a-9511-ca361149ebb2},62 102 154 781,389189,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,Money3 Services Pty Ltd,SC_REN,Rentals,AC_REN1,Rentals,Rentals,{4a0873f3-4929-4d1b-b603-c1424d11c534},62 102 154 781,389189,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Money3 ,Australia,UNKNOWN,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,zClosed Bathurst Branch,{ffbc87f0-0bf1-44a0-b14a-a1be6952dc0f},UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,3083,Unknown
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW2,NSW Zone 2,Mayfield,{d2823c19-f4b1-456e-9ce4-d383b06572f5},28 114 540 797,389268,Shop 3,109-111 Maitland Rd,Mayfield,2304,02 4967 5911
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,zClosed Maitland,{4d4e1648-fe10-44a2-ae06-83e67ac04508},28 114 540 797,389268, Shop 2,380 High St, Maitland,2320,02 4933 5166
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW2,NSW Zone 2,Wyong,{dbb926ff-09d7-418c-9e33-223ecda5df38},28 114 540 797 ,389268,,112 Pacific Hwy, Wyong,2259,02 4351 4766
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,zClosed Gosford,{f01804c8-4e98-4d07-ac99-49c122fa1eeb},28 114 540 797 ,389268,Shop 1, 144 Mann St, Gosford,2250,02 4322 3666
Money3 Group,Money3 ,Australia,MONEY3 Franchising Pty Ltd,SC_NSW,New South Wales,AC_NSW3,NSW Zone 3,Hurstville,{25c49068-9a81-4b1d-ad24-0496a91d61b4},50 124 677 247,389530,Level 1,340 Forest Road, Hurstville,2220,02 9570 5711
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW3,NSW Zone 3,Fairfield,{fd6861f9-a3e9-42bf-9a74-a24602a4c53a},28 114 540 797,389268,Shop 3,95-97 Ware Street, Fairfield,2165,02 9727 9811
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,Liverpool,{588d3c6a-d939-427f-b11f-80b9bbba43eb},28 114 540 797,389268,,207 Macquarie St, Liverpool,2170,02 9600 7900
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,Wollongong,{dde08e30-f8da-4716-8a79-f574d7b354a7},28 114 540 797,389268,Shop 1, 280-282 Crown St, Wollongong,2500,02 4228 7288
Money3 Group,Money3 ,Australia,MONEY3 Franchising Pty Ltd,SC_NSW,New South Wales,AC_NSW3,NSW Zone 3,Campbelltown,{c573ad61-0111-4721-aff7-d3730f7772ce},50 124 677 247,389530,Shop 3,138 Queen Street, Campbelltown,2560,02 4620 4491
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW3,NSW Zone 3,Parramatta,{80acabdf-9820-42f6-a104-352a085c8ebe},28 114 540 797,389268,,245 Church St, Parramatta,2150,02 9633 1597
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,Penrith,{7cbbe93e-37a0-421f-a7e0-1e9d34ff12e3},28 114 540 797,389268,,492 High St, Penrith,2750,02 4732 4844
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,zClosed St Marys,{958cd362-a64f-400a-baa5-86ea3c1abc8a},29 114 540 797,389268,,185 Queen St, St Marys,2760,02 8188 5484
Money3 Group,Money3 ,Australia,MONEY3 Franchising Pty Ltd,SC_NSW,New South Wales,AC_NSW2,NSW Zone 2,zCLOSED Dee Why,{9dbb2c2c-0833-4c58-826b-b51e87dbd78a},50 124 677 247,389530,Shop 4,876A Pittwater Road, Dee Why,2099,02 9972 4633
Money3 Group,Money3 ,Australia,MONEY3 Franchising Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,Mt Druitt,{9782528a-6d5a-4158-ae83-6350f21b9c58},50 124 677 247,389530,Shop 5,15 Cleeve Close, Mt Druitt,2770,02 9677 9311
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_NSW,New South Wales,AC_NSW1,NSW Zone 1,zClosed Blacktown,{e701e940-8719-43e0-9eba-52a121e6eec9},28 114 540 797,389268,Shop 3, 111 Main St, Blacktown,2148,02 967 12488
Money3 Group,Money3 ,Australia,UNKNOWN,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,zClosed Deception Bay Branch,{ebcf7542-7a05-480c-a132-44b017da4cd0},UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,3083,Unknown
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD2,QLD Zone 2,Logan Central,{7e03984a-257c-43ec-b45a-a48d758db3e5},28 114 540 797,389268,Shop 68, 2-24 Wembley Rd, Logan Central,4114,07 3290 1222
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,zClosed Capalaba,{2613eda1-4df7-4013-ad8c-cc7171820c86},28 114 540 797,389268,Shop 2,125 Old Cleveland Road, Capalaba,4157,07 3245 3770
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Wynnum,{bcd3ecb6-3ec5-4815-b28a-0aadd6c721b7},28 114 540 797,389268,,81 Edith Street, Wynnum,4178,07 3396 3391
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Morayfield,{04d9d534-b9fb-450e-a68e-1930f9171457},28 114 540 797,389268,Shop 1, 111 William Berry Drive, Morayfield,4506,07 5428 3770
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD2,QLD Zone 2,Strathpine,{3f3336f4-06b4-4a7c-a56c-33862f1eb32f},28 114 540 797,389268, Shop 13,451 Gympie Rd, Strathpine,4500,07 3889 8840
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD3,QLD Zone 3,Cairns,{d0f44c14-7506-4a04-962f-2091cb154b29},28 114 540 797,389268, Shop 1,214 Mulgrave Rd, Cairns,4870,07 4041 3477
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD3,QLD Zone 3,Townsville,{e14e98f7-1d4e-4073-a3aa-7412c9f1bd68},28 114 540 797,389268,,467 Flinders Street, Townsville,4810,07 4771 3730
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD3,QLD Zone 3,Rockhampton,{b3170d15-5665-4d09-bd49-15473dd4cc43},28 114 540 797,389268,,87 East Street, Rockhampton,4700,07 4922 2684
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD3,QLD Zone 3,Mackay,{52af7c0e-6fe5-44cb-b77e-3595b40eb4ba},28 114 540 797,389268,,160 Victoria Street, Mackay,4740,07 4944 0033
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Southport,{4e807020-a38f-46a3-84dc-7609bccca73c},28 114 540 797,389268,,115B Scarborough St, Southport,4215,07 5532 2788
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Toowoomba,{de788705-a089-41a3-a91c-47d8bb0407e1},28 114 540 797,389268,,561 Ruthven St, Toowoomba,4350,07 4638 8311
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Acacia Ridge,{4997fa10-20db-4551-b461-2709c1915481},28 114 540 797,389268,Shop 7 Acacia Ridge SC, 28 Elizabeth St, Acacia Ridge,4110,07 3272 9600
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_TAS,Tasmania,AC_TASSA2,TAS & SA Zone 2,Rosny Park,{600a34ef-640e-4a44-a120-b922eeccdcfe},28 114 540 797,389268,,17 Bligh Street, Rosny Park,7018,03 6244 2166
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_TAS,Tasmania,AC_TASSA1,TAS & SA Zone 1,Glenorchy,{cf43e388-c8ac-43c9-ad5b-7b30e1e248e4},28 114 540 797,389268,Shop 1 Glenorchy Plaza,350-360 Main Road,Glenorchy,7010,03 6273 7711
Money3 Group,Money3 ,Australia,Kirney Pty Ltd,SC_TAS,Tasmania,AC_TASSA1,TAS & SA Zone 1,Moonah,{0a7195f1-fa7a-4c12-b222-2d4133e18963},96 116 289 803,389081,Shop 3,113 Main Road, Moonah,7009,03 6228 0626
Money3 Group,Money3 ,Australia,Kirney Pty Ltd,SC_TAS,Tasmania,AC_TASSA1,TAS & SA Zone 1,zClosed PFC Rosny Park,{62f3a6d2-9da3-4d9b-8648-cce4215bb517},96 116 298 803,389081,Suite 2,17 Bligh Street, Rosny Park,7018,03 6244 8688
Money3 Group,Money3 ,Australia,Kirney Pty Ltd,SC_TAS,Tasmania,AC_TASSA3,TAS & SA Zone 3,PFC Burnie,{abe9ef0b-4f3b-4f71-8c14-e6be45653a85},96 116 298 803,389081,,25 Ladbrooke Street, Burnie,7320,03 6431 8155
Money3 Group,Money3 ,Australia,Kirney Pty Ltd,SC_TAS,Tasmania,AC_TASSA3,TAS & SA Zone 3,Devonport,{673aac96-10aa-4312-ae59-d99d46661117},96 116 298 803,389081,,154 William Street, Devoport,7310,03 6424 9443
Money3 Group,Money3 ,Australia,Kirney Pty Ltd,SC_TAS,Tasmania,AC_TASSA3,TAS & SA Zone 3,Launceston,{60d19501-78b6-4109-8161-108ef8499ebf},96 116 298 803,389081,,81 George Street, Launceston,7250,03 6331 3933
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_SA,South Australia,AC_TASSA2,TAS & SA Zone 2,Arndale,{6062dab0-b88f-4810-ac4b-8bdd0725e723},28 114 540 797,389268,,469B Torrens Road, Woodville,5011,08 8345 2077
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_SA,South Australia,AC_TASSA2,TAS & SA Zone 2,Salisbury,{5e14ab84-7066-4fe4-a338-2e70f13d44f0},28 114 540 797,389268,,45 John Street, Salisbury,5108,08 8285 9464
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_SA,South Australia,AC_TASSA1,TAS & SA Zone 1,zClosed Morphett Vale,{c9c2c1cb-21cd-4851-8b54-026c75587bd8},28 114 540 797,389268,Shop 6,251 Main South Road, Morphett Vale,5162,08 8326 5420
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_SA,South Australia,AC_TASSA2,TAS & SA Zone 2,Prospect,{7d121861-1a56-443f-b071-eec046735641},28 114 540 797,389268,Shop 2,105 Main North Road, Nailsworth,5083,08 8269 1525
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosedPreston Branch,{87ebc113-698e-4037-9bbd-2e5d0224a872},28 114 540 797,389268,,UNKNOWN,UNKNOWN,3083,Unknown
Money3 Group,Money3 ,Australia,UNKNOWN,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosed Tiny terms,{f05de4d5-d708-4374-a878-c42ed444b31a},UNKNOWN,UNKNOWN,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Money3 ,Australia,UNKNOWN,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosed CS Dandenong Branch,{313ef587-d2ea-4bc0-835f-f11584cb7910},UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,3083,Unknown
Money3 Group,Money3 ,Australia,UNKNOWN,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosed CS Glenroy Branch,{e8d8f1f5-7426-46e2-b0a1-a3425e8f7ed3},UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,3083,Unknown
Money3 Group,Money3 ,Australia,UNKNOWN,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosed Mitcham Branch,{b3f644fd-82f5-4c64-9802-ea8790d6b567},UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,3083,Unknown
Money3 Group,Money3 ,Australia,UNKNOWN,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosed Springvale Branch,{2803ef7a-7d9c-4bf1-bc93-298f580de42a},UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,3083,Unknown
Money3 Group,Recoveries,Australia,MONEY3 Branches Pty Ltd,SCOL,Recoveries,COL1,Recoveries,Recoveries,{83eacf3e-127e-40cf-b211-384412be0da7},28 114 540 797,389268,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Money3 ,Australia,MONEY3 Franchising Pty Ltd,SC_VIC,Victoria,AC_VIC2,VIC Zone 2,Albury,{02fb9d10-a29e-4423-964b-39abe95de2ff},50 124 677 247,389530,Shop 5,462 Dean Street, Albury,2640,02 6041 5033
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC2,VIC Zone 2,Wagga Wagga,{553720b5-deab-4cd3-a24e-94bf5b11b924},28 114 540 797,389268,Shop 2, 179 Baylis Street, Wagga Wagga,2650,02 6925 8344
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC2,VIC Zone 2,Wodonga,{353b3a87-147a-4abd-851c-2586884a6944},28 114 540 797,389268,Shop 4,176 High Street, Wodonga,3690,02 6056 3566
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,Shepparton,{3bc6d09a-1941-4506-af83-238055d19de8},28 114 540 797,389268,,336 Wyndham Street, Shepparton,3630,03 5821 0090
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC2,VIC Zone 2,Ballarat,{8319cb17-7e70-45d3-9dd0-bc3296bedc20},28 114 540 797,389268,Shop 4,Coliseum Walk, Ballarat,3350,03 5332 3600
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC2,VIC Zone 2,Bendigo,{0d0093bd-6559-4a8a-aa35-213ba7ac5448},28 114 540 797,389268,Shop 2,103 Mitchell Street, Bendigo,3550,03 5441 4466
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zCLOSED Warrnambool,{2c8d1387-b4de-4931-ba3b-7c1f96c1caf9},28 114 540 797,389268,,194 Liebig St, Warrnambool,3280,03 5560 5866
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC2,VIC Zone 2,Melton,{a09d6f39-fb51-4732-afa9-5a717b0406a0},28 114 540 797,389268,Shop 3,265-273 High Street, Melton,3337,03 9743 1088
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC4,VIC Zone 4,Dandenong,{32f83a5b-c852-41ba-b0ea-d2c81ee28567},28 114 540 797,389268,Shop 1,20A Langhorne Street, Dandenong,3175,03 9706 9288
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC4,VIC Zone 4,Boronia,{4f7743ba-0cff-48e2-9e41-50cffce9687a},28 114 540 797,389268,,128 Boronia Rd, Boronia,3155,03 9762 1407
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC4,VIC Zone 4,Clayton,{929b4565-25f4-4767-962e-cfe41d0ff9d7},28 114 540 797,389268,,356 Clayton Road, Clayton,3168,03 9543 7000
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC4,VIC Zone 4,Frankston,{772cbb35-e167-41cf-9f4c-96309974d8bb},28 114 540 797,389268,,17A Wells Street, Frankston,3199,03 9770 2377
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC3,VIC Zone 3,Reservoir,{80733ca6-df8b-47ea-8eb4-0fe4ae83a61e},28 114 540 797,389268,,283 Spring Street, Reservoir,3073,03 9460 3330
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosed Northcote,{eef7d8a8-7126-4f54-947e-741621b7ffce},28 114 540 797,389268,,363 High Street, Northcote,3070,03 9482 4156
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosed Coburg,{1f137fc5-58e2-4c1c-96e3-32beeec6661a},28 114 540 797,389268,Shop 26,471-475 Sydney Road, Coburg,3058,03 9350 2333
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC3,VIC Zone 3,Epping,{15ce48a8-fa2c-4080-a976-66d32d721bf7},28 114 540 797,389268,,732 High Street, Epping,3076,03 9408 0311
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC4,VIC Zone 4,St Albans,{3a19ad54-a877-4c24-aa3d-988be0b8cea1},28 114 540 797,389268,Shop 20,1 Princess Street, St Albans,3021,03 9356 9355
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC4,VIC Zone 4,Sunshine,{acfd7559-1d10-493f-b3ed-dbe78ef7940f},28 114 540 797,389268,Shop 4,24 Devonshire Road, Sunshine,3020,03 9310 1705
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosed Footscray,{54fc6350-7e9d-40eb-bd8a-506c4bd36422},28 114 540 797,389268,,148 Hopkins Street, Footscray,3011,03 9687 3100
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC4,VIC Zone 4,zClosed Moonee Ponds,{368d88ab-53e2-440b-be39-ec0c802b09a4},28 114 540 797,389268,,140 Puckle Street, Moonee Ponds,3039,03 9375 1655
Money3 Group,Auto3,Australia,MONEY3 Loans Pty Ltd,SC_LC,Loan Centre,AC_LC3,Loan Centre,Loan Centre Credit Team,{009d8118-78a1-4322-abef-77bda337e5d6},37 108 979 406,389067,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Online,Australia,MONEY3 Branches Pty Ltd,SC_OL,Online,AC_OL1,Money3 Web Team,Direct Unsecured Finance,{2537b5aa-9e0f-49f9-a55b-892731571080},28 114 540 797,389268,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Online,Australia,MONEY3 Branches Pty Ltd,SC_OL,Online,AC_OL1,Money3 Web Team,Call Centre,{f8a07c55-9002-41cf-b98f-b8ca3637da31},28 114 540 797,389268,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC3,VIC Zone 3,Pakenham,{78d6a2e4-d2c7-4e20-96db-33f8138979ca},28 114 540 797,389268,Shop 6 Pakenham Place SC, John St, Pakenham,3810,03 5940 3508
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC3,VIC Zone 3,Traralgon,{7788bd54-ead9-4a80-8809-45243b9566ef},28 114 540 797,389268,Shop 1, 59 Seymour Street, Traralgon,3844,03 9020 8359
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Goodna,{fba4f668-a129-431e-9e8a-9f3dbdc76c16},28 114 540 797,389268,Shop 7 ,11 Queen St, Goodna,4300,07 3381 0221
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC3,VIC Zone 3,Cranbourne,{8f038dcf-4284-4407-9eae-e34506590d98},28 114 540 797,389268,,59 High Street, Cranbourne,3977,03 5995 9200
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,Geelong,{f4acbc3e-de9b-425b-b59f-4429bceefe41},28 114 540 797,389268,,140 Ryrie Street, Geelong,3220,03 5229 0150
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,Ipswich,{1b681863-6bdd-4ef2-adc4-db5c3dc7fe87},28 114 540 797,389268,,106 Brisbane Street, Ipswich,4305,07 3812 3455
Money3 Group,Money3 ,Australia,UNKNOWN,SC_TAS,Tasmania,AC_TASSA1,TAS & SA Zone 1,zClosed Launceston Branch,{9cb809e1-cc0b-4a97-b9ab-1b412606c973},UNKNOWN,389268,,84 George St,Launceston,7250,Unknown
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,Werribee,{eaf008b0-ba37-4fc7-8ec3-b602ec822830},28 114 540 797,386268,,10B Watton Street, Werribee,3030,03 9742 4777
Money3 Group,Money3 ,Australia,UNKNOWN,SC_SA,South Australia,AC_TASSA1,TAS & SA Zone 1,zClosed Mount Gambier Branch,{31ee7edb-1897-49b2-af68-f0dcad9390fb},UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,3083,Unknown
Money3 Group,Money3 ,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,Glenroy,{a6fff09e-b151-4906-9780-99b936e1c99b},28 114 540 797,389268,,20 Post Office Place, Glenroy,3046,03 9300 2955
Money3 Group,Money3,Australia,UNKNOWN,UNK,Victoria,UNK,Bundoora,MONEY3 Corporation Ltd,{2631135b-ef7f-456a-b87b-beb03e774aa3},63 117 296 143,UNKNOWN,,40 Graduate Rd,Bundoora,3083,03 9093 8255
Money3 Group,Money3,Australia,MONEY3 Branches Pty Ltd,SC_TAS,Tasmania,AC_TASSA1,TAS & SA Zone 1,PFC Hobart Branch,{a55c2794-5365-42f1-9dff-b4147bb0fddf},28 114 540 797,389268,,UNKNOWN,UNKNOWN,7002,UNKNOWN
Money3 Group,Money3,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosed CS Cranbourne Branch,{f7d02f86-32e2-41e2-b5d9-2705d20397b8},28 114 540 797,389268,,UNKNOWN,UNKNOWN,3977,UNKNOWN
Money3 Group,Money3,Australia,MONEY3 Branches Pty Ltd,SC_QLD,Queensland,AC_QLD1,QLD Zone 1,zClosed Ashgrove Branch,{d0be2094-e8bc-434b-9818-04dc7966831b},28 114 540 797,389268,,UNKNOWN,UNKNOWN,4060,UNKNOWN
Money3 Group,Money3,Australia,MONEY3 Branches Pty Ltd,SC_VIC,Victoria,AC_VIC1,VIC Zone 1,zClosed CS Geelong Branch,{00110b4a-e018-4249-a273-335b3e72e6fb},28 114 540 797,389268,,UNKNOWN,UNKNOWN,3220,UNKNOWN
Money3 Group,Online,Australia,Money3 Services Pty Ltd,SC_OL,Online,AC_OL1,Cash Train,Money3 Online,{a6af9f07-f4cb-48d1-a887-ef98b67994e7},62 102 154 781,389189,,40 Graduate Rd,Bundoora,3083,1300 329 131
Money3 Group,Auto3,Australia,MONEY3 Loans Pty Ltd,SC_PL,Personal Loans,AC_PL1,Personal Loans,Personal Loans,{fa791c29-e5ae-4822-b0f4-4a40342f9a7c},37 108 979 406,389067,,40 Graduate Rd,Bundoora,3083,1300 329 131
